Ürün No;Ürün Adı;Ürün Cinsi;Materyal Seçenekleri;URL Slug;Fiyat (14K / Rose Altın);Fiyat (Altın Kaplama);Fiyat (925 Gümüş)
1;Floral Kolye;Kolye;14K Altın / Altın Kaplama / 925 Gümüş;cicek-motifli-altin-kolye;;;
2;Gypsy Signet Yüzük;Yüzük;14K Altın / Altın Kaplama / 925 Gümüş;gypsy-tasli-altin-muhur-yuzuk;;;
3;Rosary Harf Kolye;Kolye Ucu;14K Altın / Altın Kaplama / 925 Gümüş;rosary-altin-hac-kolye;;;
4;Station Zincir Kolye;Kolye;14K Altın;altin-carsi-zincir-kolye;;;
5;Cycle des Papillons Kolye;Kolye Ucu;Rose Altın;cicek-buketi-rose-altin-kolye-ucu;;;
6;Emerald Bow Küpe;Küpe;Rose Altın;zumrut-tasli-altin-fiyonk-kupe;;;
7;Eye Kolye Ucu;Kolye Ucu;Rose Altın;nazar-rose-altin-kolye-ucu;;;
8;Künye Bileklik;Bilezik;14K Altın;altin-kunye-bileklik;;;
9;Le Rêve du Papillon;Kolye;14K Altın / Altın Kaplama / 925 Gümüş;kelebek-inci-altin-kolye;;;
10;Mon Coeur;Bileklik;14K Altın;kalp-motifli-altin-kolye;;;
11;Perle Küpe;Küpe;14K Altın / Altın Kaplama / 925 Gümüş;barok-inci-altin-kupe;;;
12;Roses Kolye Ucu;Kolye Ucu;14K Altın / Altın Kaplama / 925 Gümüş;gul-motifli-altin-kolye;;;
13;Ruby Bow Kolye;Kolye;Rose Altın;yakut-tasli-altin-fiyonk-kolye;;;
14;Tourmaline Kolye;Kolye;14K Altın / Altın Kaplama / 925 Gümüş;turmalin-tasli-altin-kolye;;;
15;Dragonfly Bilezik;Bilezik;Rose Altın;tasli-altin-yusufcuk-bileklik;;;
16;Viking Saç Tokası;Saç Tokası;14K Altın / Altın Kaplama / 925 Gümüş;viking-altin-sac-tokasi;;;
17;Lazer Çizim & Pırlantalı Kolye Ucu;Kolye Ucu;14K Altın / Altın Kaplama / 925 Gümüş;yildiz-pirlanta-altin-kolye-ucu;;;
